	tetracycline_efflux_MFS_transporter_Tet(B)	tetracycline_repressor_protein_class_A(tetR)	tetracycline_efflux_MFS_transporter_Tet(G)	tetracycline_resistance_transcriptional_repressor_TetR(G)	tetracycline_efflux_MFS_transporter_Tet(D)	Group
SichuanCDC_SichuanCDC_SC2020146	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020148	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020149	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020152	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020154	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020155	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020158	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020160	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020162	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020164	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020165	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020167	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020171	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020172	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020177	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020178	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020181	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020182	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020183	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020185	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020186	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020187	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020191	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020192	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020195	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020196	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020198	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020199	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020202	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020203	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020209	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020210	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020211	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020212	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020215	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020216	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020217	0	0	0	0	1	R
SichuanCDC_SichuanCDC_SC2020218	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020219	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020221	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020222	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020227	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020228	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020231	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020233	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020234	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020235	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020236	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020237	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020238	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020239	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020240	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020241	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020242	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020243	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020244	0	0	1	1	0	R
SichuanCDC_SichuanCDC_SC2020246	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020247	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020248	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020250	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020280	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020281	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020282	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020283	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020284	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020285	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020287	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020290	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020291	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020292	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020294	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020296	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020298	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020301	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020302	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020303	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020304	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020305	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020306	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020307	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020311	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020312	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020313	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020317	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020325	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020326	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020330	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020331	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020332	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020333	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020336	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020337	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020338	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020340	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020341	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020342	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020343	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020344	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020345	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020346	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020350	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020352	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020354	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020356	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020357	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020358	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020359	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020360	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020361	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020363	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020364	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020366	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020367	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020368	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020370	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020372	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020374	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020383	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020386	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020388	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020389	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020390	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020391	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020393	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020395	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020408	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020409	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020411	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020413	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020415	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020418	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020420	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020422	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020423	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020425	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020427	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020428	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020430	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020433	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020435	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020436	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020437	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020439	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020441	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020443	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020446	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020447	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020452	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020456	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020457	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020463	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020464	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020465	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020467	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020468	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020469	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020472	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020473	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020475	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020477	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020478	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020479	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020480	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020482	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020488	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020491	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020500	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020501	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020502	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020505	0	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020507	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020508	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020510	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020512	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020513	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020517	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020518	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020519	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020520	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020521	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020522	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020523	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020524	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020525	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020526	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020527	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020529	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020531	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020532	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020533	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020535	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020536	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020537	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020538	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020539	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020540	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020541	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020543	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020544	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020547	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020549	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020550	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020551	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020554	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020555	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020556	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020557	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020558	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020560	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020561	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020563	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020564	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020565	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020567	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020568	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020570	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020572	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020573	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020576	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020598	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020601	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020602	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020605	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020612	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020614	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020615	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2020617	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2020618	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021BZS001	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021BZS016	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021BZS024	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021BZS026	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021BZS035	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021BZS038	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021BZS039	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021BZS040	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021BZS041	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021BZS048	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021BZS049	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS001	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS006	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS010	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS015	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS022	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS023	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS024	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS025	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS029	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS030	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS035	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS038	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS039	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS040	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS042	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS044	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS045	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS048	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS054	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS056	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS057	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS061	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS064	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS065	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS067	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS070	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS073	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS074	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS082	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS083	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS085	1	0	0	0	1	R
SichuanCDC_SichuanCDC_SC2021CDS086	0	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS087	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS089	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021CDS091	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021DZS026	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021DZS192	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021DZS195	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021DZS205	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021DZS206	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021DZS208	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021DZS211	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021DZS212	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021DZS214	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021DZS218	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021GYS005	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021GYS007	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021GYS010	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021GYS011	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021GYS046	0	0	0	0	1	R
SichuanCDC_SichuanCDC_SC2021GYS049	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021GYS050	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021GYS051	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021GYS054	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021LZS042	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021LZS052	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021LZS214	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021LZS215	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021LZS216	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021LZS217	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS002	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS004	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS014	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS039	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS044	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS045	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS062	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS070	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS072	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS076	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS077	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS078	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS083	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS093	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS094	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS098	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS101	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS105	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS107	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS110	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS112	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS115	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS116	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS121	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS122	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS125	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS126	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS129	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS131	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS134	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS135	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS136	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS138	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS139	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS140	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS171	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS175	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS178	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS179	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS180	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS181	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS185	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS189	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS192	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS195	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS203	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS205	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS206	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS211	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS212	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS214	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS216	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS218	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS219	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS220	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS222	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS223	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS226	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS228	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS229	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS230	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS235	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS238	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS243	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS246	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS247	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS253	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS254	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS258	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS265	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS266	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS267	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS269	0	1	0	0	1	R
SichuanCDC_SichuanCDC_SC2021MYS273	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS275	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS277	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS278	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS279	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS281	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS282	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS283	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS284	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021MYS287	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021NCS372	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021NCS374	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021NCS380	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021NCS381	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021NCS382	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021NCS383	1	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021NCS384	1	0	0	0	0	R
SichuanCDC_SichuanCDC_SC2021NCS385	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021NCS386	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021NCS395	0	1	0	0	0	R
SichuanCDC_SichuanCDC_SC2021NCS396	0	1	0	0	0	R
