	tetracycline_efflux_MFS_transporter_Tet(B)	tetracycline_repressor_protein_class_A(tetR)	tetracycline_efflux_MFS_transporter_Tet(G)	tetracycline_resistance_transcriptional_repressor_TetR(G)	tetracycline_efflux_MFS_transporter_Tet(D)	Group
FujianCDC_FujianCDC_JS22A56	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22A6	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22A65	1	1	0	0	0	R
FujianCDC_FujianCDC_JS22A7	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22A71	1	1	0	0	0	R
FujianCDC_FujianCDC_JS22A73	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22A74	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22A76	1	1	0	0	0	R
FujianCDC_FujianCDC_JS22A77	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22A78	1	1	0	0	0	R
FujianCDC_FujianCDC_JS22A79	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22A8	1	1	0	0	0	R
FujianCDC_FujianCDC_JS22A81	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22A83	1	1	0	0	0	R
FujianCDC_FujianCDC_JS22A84	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22A85	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22A89	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22A91	1	1	0	0	0	R
FujianCDC_FujianCDC_JS22A92	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22A94	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22A97	1	1	0	0	0	R
FujianCDC_FujianCDC_JS22A98	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22B1	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22B10	1	1	0	0	0	R
FujianCDC_FujianCDC_JS22B12	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22B14	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22B19	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22B24	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22B28	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22B3	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22B30	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22B38	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22B4	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22B42	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22B5	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22B50	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22B57	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22B58	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22B59	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22B6	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B60	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22B61	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22B63	0	1	0	0	1	R
FujianCDC_FujianCDC_JS22B7	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B8	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22B9	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22C01	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22C10	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22C13	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22C17	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22C18	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22C19	1	1	0	0	0	R
FujianCDC_FujianCDC_JS22C20	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22C22	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22C23	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22C3	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22C4	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22C5	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22C6	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22C8	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22C9	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22D1	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22D10	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22D12	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22D15	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22D16	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22D19	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22D2	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22D3	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22D9	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22E2	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22E3	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22E4	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22E5	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22E6	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22E7	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22E8	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22E9	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22F1	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22F12	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22F13	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22F14	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22F15	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22F17	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22F18	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22F2	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22F20	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22F6	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22F7	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22F8	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22F9	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22G10	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22G11	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22G12	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22G13	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22G14	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22G15	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22G2	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22G4	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22G6	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22G7	0	1	0	0	0	R
FujianCDC_FujianCDC_JS22G8	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22H1	1	0	0	0	0	R
GansuCDC_GansuCDC_GS094305202100039SM	0	0	0	0	0	R
GansuCDC_GansuCDC_GS094305202100119SM	1	0	0	0	0	R
GansuCDC_GansuCDC_GS094305202100131SM	1	0	0	0	0	R
GansuCDC_GansuCDC_GS094305202100171SM	1	1	0	0	0	R
GansuCDC_GansuCDC_GS094305202100238SM	0	1	0	0	0	R
GansuCDC_GansuCDC_GS094305202200012SM	1	1	0	0	0	R
GansuCDC_GansuCDC_GS094305202200024SM	0	1	0	0	0	R
GansuCDC_GansuCDC_GS094322202100114SM	0	1	0	0	0	R
GansuCDC_GansuCDC_GS094322202100131SM	1	0	0	0	0	R
GansuCDC_GansuCDC_GSBY2021003SM	0	1	0	0	0	R
GansuCDC_GansuCDC_GSBY2021010SM	0	1	0	0	0	R
GansuCDC_GansuCDC_GSBY2022003SM	0	1	0	0	0	R
GansuCDC_GansuCDC_GSBY2022008SM	0	1	0	0	0	R
GansuCDC_GansuCDC_GSBY2022027SM	0	1	0	0	0	R
GansuCDC_GansuCDC_GSDX2021002SM	0	1	0	0	0	R
GansuCDC_GansuCDC_GSDX2021003SM	1	0	0	0	0	R
GansuCDC_GansuCDC_GSDX2021009SM	0	1	0	0	0	R
GansuCDC_GansuCDC_GSDX2022058SM	0	1	0	0	0	R
GansuCDC_GansuCDC_GSLN2021001SM	0	0	0	0	0	R
GansuCDC_GansuCDC_GSLN2022002SM	0	1	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0084	0	1	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0125	0	1	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0138	1	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0170	0	1	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0174	1	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0207	1	1	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0292	1	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0435	0	1	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0507	0	1	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0559	0	1	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0642	0	1	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0646	0	1	0	0	0	R
GuangdongCDC_GuangdongCDC_GD22_SAL_035	0	1	0	0	0	R
GuangdongCDC_GuangdongCDC_GD22_SAL_036	0	1	0	0	0	R
GuizhouCDC_GuizhouCDC_GZAS2022-003	0	1	0	0	0	R
