	broad-spectrum_class_A_beta-lactamase_TEM-1	aminoglycoside_N-acetyltransferase_AAC(3)-IVa	SMR_family_transporter(WP_000159237.1)	chloramphenicol/florfenicol_efflux_MFS_transporter_FloR	NAD(+)--rifampin_ADP-ribosyltransferase_Arr-2	extended-spectrum_class_A_beta-lactamase_CTX-M-55	oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1	class_A_beta-lactamase	extended-spectrum_class_A_beta-lactamase_CTX-M-14	sulfonamide-resistant_dihydropteroate_synthase_Sul1	Group
hnS126	0	0	0	0	0	0	0	0	0	0	R
hnS128	0	0	0	0	0	0	0	0	0	0	R
hnS129	0	0	0	0	0	0	0	0	1	0	R
hnS131	0	0	0	0	0	0	1	0	0	1	R
hnS133	0	0	0	0	0	0	1	0	0	1	R
hnS135	0	0	0	0	0	0	0	0	0	0	R
hnS136	0	0	0	0	0	0	0	0	0	0	R
hnS137	1	0	0	0	0	0	0	0	0	0	R
hnS138	1	0	0	1	0	0	0	0	0	0	R
hnS139	1	0	0	1	0	0	0	0	0	0	R
hnS140	1	0	0	0	0	0	0	0	0	0	R
hnS141	0	1	0	1	0	0	1	0	0	1	R
hnS142	0	0	0	0	0	0	0	0	0	0	R
hnS143	1	0	0	0	0	0	0	0	0	0	R
hnS144	1	0	0	1	0	0	0	0	0	0	R
hnS145	1	0	0	1	0	1	0	0	0	0	R
hnS146	1	0	0	1	0	0	0	0	0	0	R
hnS147	0	1	0	1	0	0	1	0	0	1	R
hnS148	1	1	0	1	0	0	0	0	1	1	R
hnS15	1	0	1	1	0	0	0	0	0	0	R
hnS150	0	0	0	0	0	0	1	0	0	1	R
hnS151	0	0	0	1	1	1	0	0	0	0	R
hnS152	0	0	0	1	1	1	0	0	0	0	R
hnS157	1	1	0	1	0	0	0	0	1	1	R
hnS158	1	0	0	0	0	0	0	0	0	0	R
hnS159	1	0	0	0	0	0	0	0	0	0	R
hnS160	1	0	0	0	0	1	0	0	0	0	R
hnS163	1	0	0	0	0	0	0	0	0	0	R
hnS165	1	0	0	1	0	0	0	0	0	1	R
hnS168	0	1	0	1	0	0	1	0	0	1	R
hnS169	0	0	0	0	0	0	0	0	1	1	R
hnS170	0	0	0	0	0	1	0	0	0	0	R
hnS172	1	0	0	0	0	0	0	0	0	0	R
hnS174	1	0	0	1	0	0	0	0	0	0	R
hnS176	1	0	0	1	0	0	0	0	0	1	R
hnS177	0	0	0	0	0	0	1	0	0	1	R
hnS180	1	0	0	1	0	0	0	0	0	1	R
hnS181	1	0	0	1	0	0	0	0	0	1	R
hnS185	1	0	0	0	0	0	0	0	0	1	R
hnS186	1	0	1	0	0	1	0	0	0	1	R
hnS187	1	0	1	0	0	0	0	0	0	1	R
hnS188	1	0	0	0	0	0	0	0	0	0	R
hnS189	1	0	0	0	0	0	0	0	0	0	R
hnS208	1	0	0	0	0	0	0	0	0	0	R
hnS221	0	0	0	0	0	0	0	0	0	0	R
hnS227	0	0	1	0	0	0	0	0	0	0	R
hnS235	0	0	0	1	0	1	0	0	0	0	R
hnS236	1	0	0	0	0	0	0	0	0	0	R
hnS237	0	0	0	0	0	1	0	0	0	0	R
hnS27	1	0	0	0	0	0	0	0	0	0	R
hnS29	1	0	0	0	0	0	0	0	0	0	R
hnS30	1	0	1	0	0	0	0	0	0	1	R
hnS32	0	1	0	1	0	0	0	0	1	1	R
hnS35	1	0	0	0	0	0	0	0	0	0	R
hnS43	0	1	0	1	0	0	1	0	0	0	R
hnS44	0	1	0	1	0	0	1	0	0	0	R
hnS55	0	1	0	1	0	0	1	0	0	0	R
hnS58	0	1	0	1	0	0	1	0	0	0	R
hnS64	1	0	0	1	0	0	0	0	0	0	R
hnS65	1	0	0	1	0	0	0	0	0	0	R
hnS72	0	0	0	0	0	0	0	0	1	0	R
hnS89	1	0	0	1	0	0	0	0	0	1	R
hnS90	0	0	0	0	0	0	0	0	0	0	R
hnS91	0	1	0	1	0	0	0	0	1	1	R
hnS92	1	1	0	1	0	1	0	0	0	1	R
hnS93	1	1	0	1	0	0	0	0	1	1	R
hnS95	1	0	0	0	0	0	0	0	0	0	R
hnS98	0	1	0	1	0	0	1	0	0	1	R
jl19S100	1	0	0	0	0	0	0	0	0	0	R
jl19S11	1	0	0	0	0	0	0	0	0	0	R
jl19S15	0	0	0	1	1	0	0	0	0	0	R
jl19S16	1	0	0	0	0	0	0	0	0	0	R
jl19S2	1	0	0	0	0	0	0	0	0	0	R
jl19S21	1	0	0	0	0	0	0	0	0	0	R
jl19S22	1	0	0	1	0	0	0	0	0	0	R
jl19S23	1	0	0	0	0	0	0	0	0	0	R
jl19S24	1	0	0	1	0	0	0	0	0	0	R
jl19S25	1	0	0	0	0	0	0	0	0	0	R
jl19S28	1	0	0	0	0	0	0	0	0	0	R
jl19S3	1	0	0	0	0	0	0	0	0	0	R
jl19S32	1	0	0	0	0	0	0	0	0	0	R
jl19S33	0	0	0	0	0	0	0	0	0	0	R
jl19S34	1	0	0	0	0	0	0	0	1	0	R
jl19S35	0	0	0	0	0	0	0	0	0	0	R
jl19S36	1	0	0	0	0	0	0	0	0	0	R
jl19S37	1	0	0	1	0	0	0	0	0	1	R
jl19S38	0	0	0	0	0	0	0	0	1	1	R
jl19S39	1	0	0	0	0	0	0	0	0	0	R
jl19S4	1	0	0	0	0	0	0	0	0	0	R
jl19S40	1	0	0	0	0	0	0	0	0	0	R
jl19S41	1	0	0	0	0	0	0	0	0	0	R
jl19S42	1	0	0	0	0	0	0	0	0	0	R
jl19S47	0	0	0	0	0	0	0	1	0	0	R
jl19S48	1	0	0	0	0	0	0	0	0	0	R
jl19S49	1	0	0	0	0	0	0	0	0	0	R
jl19S5	0	0	0	0	0	0	0	0	0	0	R
jl19S50	1	0	0	0	0	0	0	0	0	0	R
jl19S51	1	0	0	0	0	0	0	0	0	0	R
jl19S53	1	0	0	0	0	0	0	0	0	0	R
jl19S57	1	0	0	1	0	0	0	0	0	0	R
jl19S58	1	0	0	0	0	0	0	0	0	0	R
jl19S6	1	0	0	1	0	0	0	0	0	1	R
jl19S61	1	0	0	0	0	0	0	0	0	0	R
jl19S64	1	0	0	0	0	0	0	0	0	0	R
jl19S66	1	0	0	0	0	0	0	0	0	0	R
jl19S68	1	0	0	0	0	0	0	0	0	0	R
jl19S7	1	0	0	0	0	0	0	0	0	0	R
jl19S71	1	0	0	0	0	0	0	0	0	0	R
jl19S72	1	0	0	1	0	0	0	0	0	1	R
jl19S73	1	0	0	0	0	0	0	0	0	0	R
jl19S76	1	0	0	0	0	0	0	0	0	0	R
jl19S78	1	0	0	0	0	0	0	0	0	0	R
jl19S79	0	0	0	0	0	0	0	0	0	1	R
jl19S8	0	0	0	0	0	0	0	0	0	0	R
jl19S80	1	0	0	0	0	0	0	0	0	0	R
jl19S81	1	0	0	0	0	0	0	0	0	0	R
jl19S82	1	0	0	0	0	0	0	0	0	0	R
jl19S83	1	0	0	0	0	0	0	0	0	0	R
jl19S84	1	0	0	0	0	0	0	0	0	0	R
jl19S87	1	0	0	0	0	0	0	0	0	0	R
jl19S88	1	0	0	0	0	0	0	0	0	1	R
jl19S89	1	0	0	1	1	1	0	0	0	0	R
jl19S9	1	0	0	0	0	0	0	0	0	0	R
jl19S90	1	0	0	0	0	0	0	0	0	0	R
jl19S93	1	0	0	0	0	0	0	0	0	0	R
jl19S96	1	0	0	0	0	0	0	0	0	0	R
jl19S98	0	0	0	0	0	0	0	1	0	0	R
jl20S1	1	0	0	0	0	0	0	0	0	0	R
jl20S11	0	0	0	1	1	0	0	0	0	0	R
jl20S12	1	0	0	1	0	0	0	0	0	0	R
jl20S13	1	0	0	0	0	0	0	0	0	0	R
jl20S14	1	0	0	0	0	0	0	0	0	0	R
jl20S15	1	0	0	0	0	0	0	0	0	0	R
jl20S17	1	0	0	0	0	0	0	0	0	0	R
jl20S21	1	0	0	0	0	0	0	0	0	0	R
jl20S22	1	1	0	1	0	0	1	0	1	0	R
jl20S25	1	0	0	0	0	0	0	0	0	0	R
jl20S26	1	0	0	1	0	0	0	0	0	1	R
jl20S27	0	0	0	0	0	0	0	1	0	0	R
jl20S28	0	0	0	0	0	0	0	1	0	0	R
jl20S29	0	0	0	0	0	0	0	1	0	0	R
jl20S3	1	0	0	0	0	0	0	0	0	0	R
jl20S30	0	0	0	0	0	0	0	1	0	0	R
jl20S31	1	0	0	0	0	0	0	0	1	0	R
jl20S32	1	0	0	0	0	0	0	0	0	0	R
jl20S34	1	0	0	0	0	0	0	0	0	0	R
jl20S36	1	0	0	0	0	0	0	0	0	0	R
jl20S38	1	0	0	0	0	0	0	0	0	0	R
jl20S4	1	0	0	0	0	0	0	0	0	0	R
jl20S42	1	0	0	0	0	0	0	0	0	0	R
jl20S43	1	0	0	1	0	0	0	0	0	0	R
jl20S45	1	0	0	0	0	0	0	0	0	0	R
jl20S46	1	0	0	0	0	0	0	0	0	0	R
jl20S48	0	0	0	0	0	0	0	0	1	1	R
jl20S5	1	0	0	0	0	0	0	0	0	0	R
jl20S52	1	0	0	0	0	0	0	0	0	0	R
jl20S57	0	1	0	1	1	0	0	0	0	0	R
jl20S58	1	0	0	0	0	0	0	0	0	0	R
jl20S6	1	0	0	0	0	0	0	0	0	0	R
jl20S61	1	0	0	0	0	0	0	0	0	0	R
jl20S63	1	0	0	0	0	0	0	0	0	0	R
jl20S65	1	0	0	0	0	0	0	0	0	0	R
jl20S7	1	0	0	0	0	0	0	0	0	0	R
jl20S8	1	0	0	0	0	0	0	0	0	0	R
jl21S101	1	0	0	0	0	0	0	0	0	0	R
jl21S102	1	0	0	0	0	0	0	0	0	0	R
jl21S103	1	0	0	0	0	0	0	0	0	0	R
jl21S107	1	0	0	0	0	0	0	0	1	0	R
jl21S109	1	0	0	0	0	0	0	0	0	0	R
jl21S110	1	0	0	0	0	0	0	0	0	0	R
jl21S114	1	0	0	0	0	0	0	0	0	0	R
jl21S126	1	0	0	0	0	0	0	0	0	0	R
jl21S127	1	0	0	0	0	0	0	0	0	0	R
jl21S128	1	0	0	0	0	0	0	0	0	0	R
jl21S130	0	0	0	0	0	0	0	0	0	0	R
jl21S131	1	0	0	0	0	0	0	0	0	0	R
jl21S135	1	0	0	0	0	0	0	0	0	0	R
jl21S137	1	0	0	0	0	0	0	0	0	0	R
jl21S17	1	0	0	0	0	0	0	0	0	0	R
jl21S18	1	0	0	0	0	0	0	0	0	0	R
jl21S24	0	0	0	1	0	1	0	1	0	0	R
jl21S25	0	0	0	1	0	1	0	1	0	0	R
jl21S26	0	0	0	1	0	1	0	1	0	0	R
jl21S27	1	1	0	1	0	0	1	0	0	0	R
jl21S28	1	1	0	1	0	0	1	0	0	0	R
jl21S29	1	0	0	0	0	0	0	0	0	0	R
jl21S3	1	0	0	1	0	0	0	0	0	0	R
jl21S30	1	1	0	1	0	0	1	0	0	0	R
jl21S4	1	0	0	1	0	0	0	0	0	0	R
jl21S43	1	0	0	0	0	0	0	0	0	0	R
jl21S46	1	0	0	0	0	0	0	0	0	0	R
jl21S47	1	0	0	0	0	0	0	0	0	0	R
jl21S48	1	0	0	0	0	0	0	0	0	0	R
jl21S54	1	0	0	0	0	0	0	0	0	0	R
jl21S56	1	0	0	0	0	0	0	0	0	0	R
jl21S57	1	0	0	0	0	0	0	0	0	0	R
jl21S59	1	0	0	0	0	0	0	0	0	0	R
jl21S64	1	0	0	0	0	0	0	0	0	0	R
jl21S65	1	0	0	0	0	0	0	0	0	0	R
jl21S68	1	0	0	0	0	0	0	0	0	0	R
jl21S7	1	0	0	1	0	0	0	0	0	0	R
jl21S72	1	0	0	1	0	0	0	0	0	0	R
jl21S73	1	0	0	0	0	0	0	0	0	0	R
jl21S74	1	0	0	0	0	0	0	0	0	0	R
jl21S8	1	0	0	0	0	0	0	0	0	0	R
jl21S85	1	0	0	0	0	0	0	0	0	0	R
jl21S89	1	0	0	0	0	0	0	0	0	0	R
jl21S91	1	0	0	0	0	0	0	0	0	0	R
jl21S95	1	0	0	0	0	0	0	0	0	0	R
jl21S99	0	0	0	0	0	0	0	1	0	0	R
jlS104	1	0	0	0	0	0	0	0	0	1	R
jlS106	1	0	0	0	0	0	0	0	0	0	R
jlS107	0	1	0	1	0	0	1	0	0	1	R
jlS108	1	0	0	0	1	0	0	0	0	0	R
jlS111	1	1	0	1	0	0	0	0	1	1	R
jlS115	1	0	0	0	0	0	0	0	0	0	R
jlS117	1	0	0	0	0	0	0	0	0	0	R
jlS118	1	0	0	0	0	0	0	0	1	0	R
jlS119	0	0	0	0	0	1	0	0	0	0	R
jlS120	1	0	0	0	0	0	0	0	0	0	R
jlS121	0	1	0	1	0	0	1	0	0	1	R
jlS122	1	0	0	0	0	0	0	0	0	0	R
jlS129	0	0	1	0	0	0	0	0	0	0	R
jlS130	1	0	0	1	0	0	0	0	0	0	R
jlS131	1	0	0	0	0	0	0	0	0	0	R
jlS132	0	0	0	1	0	0	0	0	0	0	R
jlS133	1	0	0	0	0	0	0	0	0	0	R
jlS134	0	0	0	0	0	0	0	0	0	0	R
jlS135	1	0	0	0	0	0	0	0	0	0	R
jlS138	1	1	0	1	0	0	0	0	1	1	R
jlS139	0	0	0	1	0	0	0	0	0	0	R
jlS140	1	0	0	0	0	0	0	0	0	0	R
jlS142	1	0	0	1	0	0	0	0	0	0	R
jlS143	1	0	0	0	0	0	1	0	0	1	R
jlS145	1	0	0	0	0	0	0	0	0	0	R
jlS146	0	0	0	1	1	0	0	0	0	0	R
jlS21	1	0	0	0	0	0	0	0	0	0	R
jlS23	0	0	1	0	0	0	0	0	0	0	R
jlS24	1	0	0	0	0	0	0	0	0	0	R
jlS26	0	0	0	0	0	0	0	0	0	0	R
jlS29	0	0	0	0	0	0	0	0	0	0	R
jlS33	0	1	0	1	0	0	0	0	1	1	R
jlS35	1	0	0	0	0	0	0	0	0	0	R
jlS36	0	0	0	0	0	0	0	0	0	0	R
jlS37	1	0	0	0	0	0	0	0	0	0	R
jlS38	1	0	0	1	0	0	0	0	0	0	R
jlS39	0	0	1	0	0	0	0	0	0	0	R
jlS40	0	0	1	0	0	0	0	0	0	0	R
jlS41	1	0	0	0	0	0	0	0	0	0	R
jlS42	0	0	0	0	0	0	0	0	0	1	R
jlS43	1	0	0	0	0	0	0	0	0	1	R
jlS45	1	0	0	0	0	0	0	0	0	0	R
jlS46	1	0	0	0	0	0	0	0	0	0	R
jlS48	0	0	0	0	0	0	0	0	0	0	R
jlS49	1	0	0	0	0	0	0	0	0	0	R
jlS51	1	0	0	0	0	0	0	0	0	0	R
jlS54	1	0	0	0	0	0	0	0	0	0	R
jlS55	1	0	0	0	0	0	0	0	0	0	R
jlS60	0	0	0	0	0	1	0	0	0	0	R
jlS64	1	0	0	0	0	0	0	0	0	0	R
jlS65	1	0	0	0	0	1	0	0	0	0	R
jlS69	0	0	0	1	0	0	0	0	0	0	R
jlS75	1	0	0	0	0	0	0	0	0	0	R
jlS76	1	0	0	0	0	0	0	0	0	1	R
jlS77	1	0	0	0	0	0	0	0	0	0	R
jlS79	0	1	0	1	0	0	0	0	1	1	R
jlS82	1	1	0	0	0	0	1	0	1	0	R
jlS84	1	0	0	0	0	0	0	0	0	0	R
jlS88	1	0	0	0	0	0	0	0	0	0	R
jlS89	0	0	1	0	0	0	0	0	0	0	R
jlS90	1	0	0	1	0	0	0	0	0	1	R
jlS93	1	0	0	0	0	0	0	0	0	0	R
jlS95	1	0	0	0	0	0	0	0	0	0	R
jlS96	1	0	0	1	0	0	0	0	0	0	R
js19S1	0	0	0	1	1	1	0	0	0	1	R
js19S10	0	1	0	1	0	0	0	0	0	0	R
js19S11	1	0	0	1	0	0	0	0	0	1	R
js19S118	1	0	0	0	0	0	0	0	0	0	R
js19S12	1	0	0	1	0	0	0	0	0	1	R
js19S128	0	1	1	1	1	0	0	0	0	0	R
js19S129	0	1	0	1	0	0	0	1	0	0	R
js19S13	1	0	0	1	0	0	0	0	0	0	R
js19S130	1	0	0	1	0	0	0	0	0	0	R
js19S131	1	0	0	0	0	0	0	0	0	0	R
js19S132	1	0	0	0	0	0	0	0	0	0	R
js19S135	1	0	0	1	0	0	0	0	0	1	R
js19S136	1	0	0	0	0	0	0	0	0	0	R
js19S137	1	0	0	1	0	0	0	0	0	0	R
js19S139	1	0	0	0	0	0	0	0	0	0	R
js19S14	1	0	0	0	0	0	0	0	0	0	R
js19S141	1	0	0	0	0	0	0	0	0	0	R
js19S143	1	0	0	0	0	0	0	0	0	0	R
js19S144	0	1	0	1	0	0	1	0	0	0	R
js19S145	1	0	0	1	0	0	0	0	0	0	R
js19S146	0	0	0	0	0	0	1	0	0	1	R
js19S147	0	0	0	0	0	0	0	0	1	1	R
js19S151	1	0	0	0	0	0	0	0	0	0	R
js19S152	1	0	0	0	0	0	0	0	0	0	R
js19S154	1	0	0	0	0	0	0	0	0	0	R
js19S159	1	0	0	1	0	0	0	0	0	1	R
js19S16	1	0	0	1	0	0	0	0	0	1	R
js19S161	1	0	0	0	0	0	0	0	0	0	R
js19S165	1	0	0	0	0	0	0	0	0	0	R
js19S167	1	0	0	0	0	0	0	0	0	0	R
js19S170	0	0	1	0	0	0	0	0	0	0	R
js19S171	1	0	0	1	0	0	0	0	0	0	R
js19S172	1	0	0	0	0	0	0	0	0	0	R
js19S175	1	0	0	1	0	0	0	0	0	1	R
js19S176	1	0	0	0	0	0	0	0	0	0	R
js19S178	1	0	0	1	0	0	0	0	0	0	R
js19S18	0	0	0	1	0	0	1	0	0	1	R
js19S182	1	0	0	1	0	0	0	0	0	1	R
js19S184	1	0	0	1	0	0	0	0	0	0	R
js19S185	0	0	0	1	1	1	0	0	0	1	R
js19S186	1	0	0	0	0	0	0	0	1	0	R
js19S19	1	0	0	1	0	0	0	0	0	0	R
js19S190	1	0	0	1	0	0	0	0	0	0	R
js19S193	0	0	0	0	0	0	0	0	1	1	R
js19S202	1	0	0	0	0	0	0	0	0	0	R
js19S204	0	0	0	0	0	0	0	0	0	0	R
js19S205	0	0	0	0	0	0	1	0	0	1	R
js19S208	1	0	0	0	0	0	1	0	0	1	R
js19S209	1	0	0	0	0	0	0	0	0	0	R
js19S21	1	0	0	0	0	0	0	0	0	0	R
js19S211	1	0	0	0	0	0	0	0	0	0	R
js19S214	1	0	0	0	0	0	0	0	0	0	R
js19S215	1	0	0	0	0	0	0	0	0	0	R
js19S216	1	0	0	0	0	0	0	0	0	0	R
js19S217	1	0	0	0	0	0	0	0	0	0	R
js19S221	1	0	0	0	0	0	0	0	0	0	R
js19S224	1	0	0	1	0	0	0	0	0	1	R
js19S226	1	0	0	0	0	0	0	0	0	0	R
js19S227	0	0	0	0	0	0	0	0	0	1	R
js19S228	0	0	0	0	0	0	0	0	0	0	R
js19S229	1	0	0	0	0	0	0	0	0	0	R
js19S230	1	0	0	1	0	0	0	0	0	0	R
js19S231	1	0	0	0	0	0	0	0	0	0	R
js19S232	1	0	0	0	0	0	0	0	0	0	R
js19S233	0	1	0	1	1	0	0	0	0	0	R
js19S235	0	0	0	0	0	0	0	0	0	0	R
js19S236	1	0	0	0	0	0	0	0	0	0	R
js19S237	0	0	0	0	0	0	0	0	0	0	R
js19S238	1	0	0	0	0	0	0	0	0	0	R
js19S24	0	1	0	1	0	0	1	0	0	1	R
js19S246	1	0	0	0	0	0	0	0	0	0	R
js19S252	1	0	0	0	0	0	0	0	0	0	R
js19S267	1	0	0	0	0	0	0	0	0	0	R
js19S27	1	0	0	0	0	0	0	0	0	0	R
js19S271	1	0	0	0	0	0	0	0	0	0	R
js19S272	1	0	0	1	1	1	0	0	0	0	R
js19S278	1	0	0	1	0	0	0	0	0	0	R
js19S279	1	0	0	1	0	0	0	0	0	0	R
js19S28	1	0	0	0	0	0	0	0	0	0	R
js19S280	1	0	0	1	0	0	0	0	0	0	R
js19S282	1	0	0	0	0	0	0	0	0	0	R
js19S283	1	0	0	0	0	0	0	0	0	0	R
js19S285	1	0	1	0	0	0	0	0	0	1	R
js19S289	1	0	0	0	0	0	0	0	0	1	R
js19S290	0	0	0	0	0	0	0	0	0	0	R
js19S293	1	0	0	0	0	0	0	0	0	0	R
js19S294	1	0	0	0	0	0	0	0	0	0	R
js19S297	0	0	1	0	0	0	0	0	0	0	R
js19S30	1	0	0	1	0	0	0	0	0	0	R
js19S300	1	0	0	0	0	0	0	0	0	0	R
js19S301	1	0	0	0	0	0	0	0	0	0	R
js19S309	1	0	0	0	0	0	0	0	0	0	R
js19S310	1	0	0	0	0	0	0	0	0	0	R
js19S311	0	0	0	0	0	0	0	0	0	0	R
js19S314	1	0	0	1	0	0	0	0	0	0	R
js19S315	1	0	0	0	0	0	0	0	0	0	R
js19S316	0	0	1	1	0	0	0	0	0	0	R
js19S317	1	0	0	0	0	0	0	0	0	0	R
js19S32	1	0	0	1	0	0	0	0	0	0	R
js19S320	1	0	0	0	0	0	0	0	0	0	R
js19S33	1	0	0	0	0	0	0	0	0	0	R
js19S34	1	0	0	1	0	0	0	0	0	1	R
js19S35	1	0	0	0	0	0	0	0	0	0	R
js19S37	0	0	0	0	0	0	0	0	0	0	R
js19S38	1	0	0	0	0	0	0	0	0	0	R
js19S40	0	0	0	1	1	1	0	0	0	1	R
js19S55	1	0	0	0	0	0	0	0	0	0	R
js19S57	1	0	0	1	1	0	0	0	0	0	R
js19S59	1	0	0	1	0	0	0	0	0	1	R
js19S6	1	0	0	1	0	0	0	0	0	1	R
js19S61	1	0	0	1	0	0	0	0	0	0	R
js19S63	1	0	0	0	0	0	0	0	0	0	R
js19S64	1	0	0	0	0	0	0	0	0	0	R
js19S65	0	0	0	0	0	0	0	0	0	0	R
js19S68	1	0	0	1	0	0	0	0	0	0	R
js19S7	1	0	0	1	0	0	0	0	0	1	R
js19S70	1	0	0	0	0	0	0	0	0	0	R
js19S71	0	1	0	0	0	0	0	0	1	0	R
js19S72	1	0	0	1	0	0	1	0	0	1	R
js19S77	1	0	0	0	0	0	0	0	0	0	R
js19S78	1	0	0	1	0	0	0	0	0	0	R
js19S79	1	0	0	1	0	0	0	0	0	0	R
js19S80	0	0	0	0	0	0	0	0	0	0	R
js19S81	1	0	0	0	0	0	0	0	0	0	R
js19S82	1	0	0	1	0	0	0	0	0	1	R
js19S84	1	1	0	1	0	1	1	0	0	1	R
js19S85	1	0	0	0	0	0	0	0	0	0	R
js19S87	1	0	0	0	0	0	0	0	0	0	R
js19S89	1	0	0	0	0	0	0	0	0	0	R
js19S90	1	0	0	1	0	1	0	0	0	0	R
js19S93	0	0	0	0	0	0	0	0	0	0	R
js19S94	1	0	0	1	0	0	0	0	0	0	R
jsS105	1	0	1	1	0	0	0	0	0	0	R
jsS108	0	1	0	1	0	0	1	0	0	1	R
jsS109	1	0	0	1	0	0	0	0	0	0	R
jsS11	1	0	0	1	0	0	0	0	0	0	R
jsS117	1	1	0	1	0	0	0	0	0	1	R
jsS119	1	0	1	0	0	0	0	0	0	0	R
jsS120	1	0	1	0	0	0	0	0	0	1	R
jsS122	1	0	0	0	0	0	0	0	1	0	R
jsS125	1	0	0	0	0	0	0	0	0	0	R
jsS126	0	0	0	1	0	0	0	0	0	0	R
jsS129	1	0	0	0	0	0	0	0	0	0	R
jsS13	1	0	0	0	0	0	0	0	0	0	R
jsS131	1	0	0	0	0	0	1	0	1	1	R
jsS132	1	0	1	0	0	0	0	0	0	0	R
jsS137	1	0	0	1	0	0	0	0	0	0	R
jsS139	0	0	0	0	0	1	0	0	0	0	R
jsS141	1	0	0	0	0	0	0	0	1	0	R
jsS144	1	0	0	1	0	0	0	0	0	0	R
jsS15	0	0	0	0	0	0	1	0	0	1	R
jsS155	1	0	0	0	0	0	0	0	1	0	R
jsS161	1	0	0	0	0	0	0	0	0	0	R
jsS162	1	0	0	0	0	0	0	0	0	0	R
jsS174	1	0	0	0	0	0	0	0	0	1	R
jsS175	1	0	0	0	0	0	0	0	0	0	R
jsS18	1	1	0	1	0	0	1	0	1	1	R
jsS180	1	0	0	0	0	0	0	0	0	0	R
jsS20	1	0	0	0	0	0	0	0	0	0	R
jsS21	0	0	0	1	0	0	0	0	0	0	R
jsS22	1	0	0	1	0	0	0	0	0	0	R
jsS28	1	0	0	0	0	0	0	0	0	0	R
jsS34	1	0	0	1	0	0	0	0	0	0	R
jsS38	0	0	0	0	0	0	0	0	0	0	R
jsS40	1	0	0	1	0	0	1	0	0	1	R
jsS42	1	0	0	0	0	0	0	0	0	0	R
jsS43	0	0	0	1	0	0	0	0	0	0	R
jsS45	1	0	1	0	0	0	0	0	0	1	R
jsS50	1	0	0	0	0	0	0	0	0	0	R
jsS51	0	0	0	1	0	1	0	0	0	0	R
jsS52	1	0	0	0	0	0	0	0	0	0	R
jsS54	0	0	0	1	0	0	0	0	0	1	R
jsS55	1	0	0	0	0	0	0	0	0	0	R
jsS56	1	0	0	0	0	0	0	0	0	0	R
jsS6	1	0	0	0	0	0	0	0	0	0	R
jsS63	1	0	0	0	0	0	0	0	0	0	R
jsS66	1	0	0	0	0	0	0	0	0	0	R
jsS78	0	1	0	1	0	0	1	0	0	0	R
jsS82	1	0	0	1	0	0	0	0	0	1	R
jsS83	0	0	0	0	0	1	0	0	0	0	R
jsS89	1	0	0	0	0	0	0	0	0	0	R
jsS95	1	0	0	0	0	0	0	0	0	1	R
jx15s1	1	0	0	1	0	0	0	0	0	1	R
jx15s15	0	1	0	1	0	0	1	0	0	1	R
jx15s21	1	0	0	0	0	0	0	0	0	0	R
jx15s3	1	0	0	0	0	0	0	0	0	0	R
jx15s33	0	0	0	1	0	0	0	0	0	0	R
jx15s35	1	0	0	0	0	0	0	0	0	0	R
jx15s36	1	0	0	0	0	0	0	0	0	0	R
jx15s37	1	0	0	0	0	0	0	0	0	0	R
jx15s40	1	0	0	0	0	0	0	0	0	0	R
jx15s41	1	0	0	0	0	0	0	0	1	0	R
jx15s42	0	0	0	1	0	1	1	0	0	1	R
jx15s44	1	0	0	0	0	0	0	0	0	0	R
jx15s45	1	0	0	0	0	0	0	0	0	0	R
jx15s53	1	0	0	0	0	0	0	0	0	0	R
jx15s61	1	0	0	0	0	0	0	0	0	0	R
jx15s65	0	0	0	1	0	0	0	0	0	0	R
jx15s66	1	0	0	0	0	0	0	0	0	0	R
jx15s70	0	0	0	0	0	0	0	0	0	0	R
jx16s16	1	0	0	0	0	0	0	0	0	0	R
jx16s17	1	0	0	0	0	0	0	0	0	0	R
jx16s19	1	0	0	1	1	1	0	0	0	0	R
jx16s28	1	0	0	0	0	0	0	0	0	0	R
jx16s33	1	1	0	1	0	0	0	0	1	1	R
jx16s34	1	0	0	0	0	0	0	0	0	0	R
jx16s35	1	0	0	0	0	0	0	0	0	0	R
jx16s37	1	0	0	0	0	0	0	0	0	0	R
jx16s8	1	0	0	0	0	0	0	0	0	0	R
jx17s1	1	0	0	1	0	0	0	0	0	0	R
jx17s10	1	0	1	1	0	0	0	0	0	1	R
jx17s12	1	1	0	1	0	0	0	0	1	1	R
jx17s14	0	0	0	1	0	0	0	0	1	0	R
jx17s17	0	1	0	1	0	0	1	0	0	1	R
jx17s18	1	1	0	1	0	0	1	0	0	1	R
jx17s2	1	0	0	1	0	0	0	0	0	0	R
jx17s20	0	0	0	0	0	0	0	0	0	0	R
jx17s21	1	0	0	1	0	0	0	0	0	0	R
jx17s22	1	0	1	0	0	0	0	0	0	1	R
jx17s23	1	0	0	0	0	0	0	0	0	0	R
jx17s24	1	0	1	0	0	0	0	0	0	1	R
jx17s25	1	0	0	1	0	0	0	0	0	0	R
jx17s27	1	0	0	1	0	0	0	0	0	0	R
jx17s28	1	0	0	0	0	0	0	0	0	0	R
jx17s29	1	0	0	0	0	0	0	0	0	0	R
jx17s30	1	0	0	0	0	0	0	0	0	0	R
jx17s31	1	0	0	0	0	1	0	0	0	0	R
