	broad-spectrum_class_A_beta-lactamase_TEM-1	aminoglycoside_N-acetyltransferase_AAC(3)-IVa	SMR_family_transporter(WP_000159237.1)	chloramphenicol/florfenicol_efflux_MFS_transporter_FloR	NAD(+)--rifampin_ADP-ribosyltransferase_Arr-2	extended-spectrum_class_A_beta-lactamase_CTX-M-55	oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1	class_A_beta-lactamase	extended-spectrum_class_A_beta-lactamase_CTX-M-14	sulfonamide-resistant_dihydropteroate_synthase_Sul1	Group
D7	1	0	0	0	0	0	0	0	0	0	R
D70	1	0	0	1	1	0	0	0	0	0	R
D71	1	0	0	1	1	1	0	0	0	0	R
D73	1	0	0	1	0	0	0	0	0	1	R
D74	0	0	0	0	0	0	1	0	0	0	R
D76	1	0	0	1	0	0	0	0	0	1	R
D77	1	0	0	1	0	0	0	0	0	1	R
D78	1	0	0	1	0	0	0	0	0	1	R
D8	1	0	0	0	0	0	0	0	0	1	R
D80	0	0	0	1	0	1	0	0	0	0	R
D81	1	0	0	1	0	0	0	0	0	1	R
D82	1	1	0	1	0	0	1	0	0	1	R
D83	0	0	0	1	0	0	0	0	0	0	R
D84	1	0	1	1	0	0	0	0	0	1	R
D86	0	1	0	1	0	0	1	0	1	1	R
D87	0	1	0	1	0	0	1	0	0	1	R
D88	0	0	0	0	0	0	0	0	0	0	R
D91	0	1	0	1	0	0	1	0	0	0	R
D92	1	1	0	1	0	0	1	0	0	1	R
D93	0	1	0	1	0	0	1	1	0	1	R
D94	0	1	0	1	0	0	0	0	0	1	R
D96	0	1	0	1	0	0	0	0	1	0	R
D97	0	0	0	0	0	0	0	0	0	0	R
D98	0	0	0	0	0	0	0	0	0	0	R
D99	0	0	0	0	0	0	0	0	0	1	R
E1	0	1	0	1	1	0	0	0	0	0	R
E5	1	0	0	0	0	0	0	0	0	0	R
E6	1	0	0	0	0	0	0	0	0	0	R
E7	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A105	0	0	0	1	1	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A107	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A121	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A124	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A126	0	0	0	1	1	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A127	0	1	0	1	1	0	0	0	0	1	R
FujianCDC_FujianCDC_JS22A128	0	0	0	1	1	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A129	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A130	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A133	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A134	0	1	0	1	1	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A135	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A139	1	1	0	1	0	0	1	0	0	1	R
FujianCDC_FujianCDC_JS22A140	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A141	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A145	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A154	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A167	1	0	0	1	0	0	0	0	0	1	R
FujianCDC_FujianCDC_JS22A20	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A21	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A22	1	0	0	0	0	0	1	0	0	1	R
FujianCDC_FujianCDC_JS22A24	0	0	0	0	0	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22A27	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A28	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A29	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A30	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A35	1	0	1	0	0	0	0	0	0	1	R
FujianCDC_FujianCDC_JS22A37	0	1	0	1	1	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A47	0	0	0	1	0	0	0	0	0	1	R
FujianCDC_FujianCDC_JS22A54	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A56	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A6	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A62	0	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A63	0	0	0	1	0	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22A65	0	0	0	1	1	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A7	1	0	0	1	0	0	0	0	0	1	R
FujianCDC_FujianCDC_JS22A70	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A71	0	1	0	1	1	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A73	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A76	0	1	0	1	1	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A77	0	0	0	1	1	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22A78	0	1	0	1	1	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A8	0	1	0	1	1	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A82	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A83	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A84	1	1	0	1	0	0	1	0	0	1	R
FujianCDC_FujianCDC_JS22A85	1	0	0	1	0	0	0	0	0	1	R
FujianCDC_FujianCDC_JS22A87	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A90	0	0	0	1	1	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A93	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A94	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A96	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A97	0	0	0	1	1	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A98	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B1	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B10	0	1	0	1	1	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B11	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B12	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B14	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B17	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B19	0	1	0	1	0	0	1	0	0	1	R
FujianCDC_FujianCDC_JS22B21	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B22	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B23	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B24	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B25	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B27	0	0	0	1	1	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B3	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B30	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B34	0	1	0	1	1	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B38	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B4	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B40	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B42	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B47	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B52	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B53	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B58	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B6	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B62	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B63	0	0	0	0	0	0	1	0	0	1	R
FujianCDC_FujianCDC_JS22B9	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22C01	0	0	0	0	0	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22C11	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22C16	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22C18	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22C2	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22C22	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22C24	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22C6	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22C9	0	0	0	1	0	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22D10	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22D11	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22D12	0	1	0	1	0	0	1	0	0	1	R
FujianCDC_FujianCDC_JS22D14	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22D15	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22D16	1	0	0	1	0	0	0	0	0	1	R
FujianCDC_FujianCDC_JS22D18	1	0	0	1	1	0	0	0	0	1	R
FujianCDC_FujianCDC_JS22D19	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22D2	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22D20	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22D7	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22D9	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22E2	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22E3	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22E4	1	0	0	1	0	1	0	0	0	0	R
FujianCDC_FujianCDC_JS22E5	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22E6	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22E8	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22E9	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22F1	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22F10	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22F11	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22F12	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22F13	0	1	0	1	0	0	1	0	0	1	R
FujianCDC_FujianCDC_JS22F15	1	0	0	0	0	0	0	0	0	0	R
