	extended-spectrum_class_A_beta-lactamase_CTX-M-55	extended-spectrum_class_A_beta-lactamase_CTX-M-65	extended-spectrum_class_A_beta-lactamase_CTX-M-14	quinolone_resistance_pentapeptide_repeat_protein_QnrB22	class_C_beta-lactamase_CMY-2	macrolide_resistance_MFS_transporter_Mrx(A)	extended-spectrum_class_A_beta-lactamase_CTX-M-123	MBL_fold_metallo-hydrolase(WP_001522969.1)	extended-spectrum_class_A_beta-lactamase_CTX-M-64	sulfonamide-resistant_dihydropteroate_synthase_Sul1	Group
FujianCDC_FujianCDC_JS22A84	0	0	0	1	0	0	0	0	0	1	R
FujianCDC_FujianCDC_JS22A85	0	0	0	0	0	0	0	0	0	1	R
FujianCDC_FujianCDC_JS22A91	0	1	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A92	0	0	0	0	0	0	0	0	0	1	R
FujianCDC_FujianCDC_JS22A96	0	0	0	0	1	0	0	1	0	0	R
FujianCDC_FujianCDC_JS22A97	0	1	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B10	0	1	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B13	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B24	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B25	0	0	0	0	1	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B34	0	1	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B4	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B54	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B6	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B63	0	0	0	1	0	0	0	0	0	1	R
FujianCDC_FujianCDC_JS22B7	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22B8	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22C01	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22E3	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22E4	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22E5	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22E6	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22E7	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22E8	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22G1	0	0	1	0	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GS094305202200012SM	0	0	0	0	0	1	0	0	0	1	R
GansuCDC_GansuCDC_GS094322202100131SM	1	0	0	0	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GSBY2022027SM	1	0	0	0	0	1	0	0	0	1	R
GansuCDC_GansuCDC_GSDX2022001SM	0	0	0	0	0	0	1	0	0	1	R
GansuCDC_GansuCDC_GSJC2022006SM	0	0	0	0	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GSJQ2022013SM	0	0	1	0	0	0	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0084	1	0	0	0	0	0	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0121	1	0	0	0	0	0	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0170	1	0	0	0	0	0	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0207	1	0	0	0	0	1	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0292	1	0	0	0	0	0	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0531	1	0	0	0	0	0	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0551	1	0	0	0	1	0	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0559	0	0	0	0	0	1	0	0	1	1	R
GuangdongCDC_GuangdongCDC_22ESS0582	0	0	0	0	0	0	0	0	0	1	R
GuangdongCDC_GuangdongCDC_22ESS0642	0	1	0	0	0	0	0	0	0	0	R
GuizhouCDC_GuizhouCDC_GZGY2022-004	1	0	0	0	0	0	0	0	0	1	R
GuizhouCDC_GuizhouCDC_GZTR2022-086	0	1	0	0	0	0	0	0	0	1	R
GuizhouCDC_GuizhouCDC_GZTR2022-125	0	1	0	0	0	0	0	0	0	0	R
GuizhouCDC_GuizhouCDC_GZZY2022-130	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMAY20220020	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMAY20220054	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHALYFHMF6	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMHALYTZGH3	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMHALYTZHJ6	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHALYTZLQ1	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMHALYTZLQ5	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMHALYTZLQ7	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMHALYTZLQ8	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMHALYTZRS4	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMHALYTZRS8	0	1	0	0	0	0	0	0	0	1	R
HenanCDC_SMHALYTZRS9	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMHALYTZTM3	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHALYYZTR3	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHALYYZTR4	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHB20220002-1	0	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMHB20220008	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMHB20220010-3	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMHB20220011	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMHBRJ2022041-1	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMHBRJ2022041-2	1	0	0	0	0	0	0	0	0	1	R
HenanCDC_SMHBRJ2022041-3	1	0	0	0	0	0	0	0	0	1	R
HenanCDC_SMHBRJ2022042	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMHBRJ2022048	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022050	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMHBRJ2022051-2	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMHBRJ2022052-2	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMHBRJ2022053-1	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMHBRJ2022054	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMHBRJ2022059	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMHBRJ2022084-1	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022084-2	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMHBRJ2022084-3	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMHBRJ2022085	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022086	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022087-2	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMHBRJ2022089-1	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022089-2	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMHBRJ2022091-1	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022091-2	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022092-2	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022093-2	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022093-3	0	0	1	0	0	0	0	0	0	1	R
HenanCDC_SMHBRJ2022094-1	0	1	0	0	0	0	0	0	0	0	R
