	extended-spectrum_class_A_beta-lactamase_CTX-M-55	extended-spectrum_class_A_beta-lactamase_CTX-M-65	extended-spectrum_class_A_beta-lactamase_CTX-M-14	quinolone_resistance_pentapeptide_repeat_protein_QnrB22	class_C_beta-lactamase_CMY-2	macrolide_resistance_MFS_transporter_Mrx(A)	extended-spectrum_class_A_beta-lactamase_CTX-M-123	MBL_fold_metallo-hydrolase(WP_001522969.1)	extended-spectrum_class_A_beta-lactamase_CTX-M-64	sulfonamide-resistant_dihydropteroate_synthase_Sul1	Group
gxS421	0	0	1	0	0	0	0	0	0	1	R
gxS437	0	1	0	0	0	0	0	0	0	0	R
gxS444	1	0	0	0	0	0	0	0	0	0	R
gxS5	0	0	0	0	0	0	0	0	0	1	R
gxS50	0	0	1	0	0	0	0	0	0	0	R
gxS6	0	0	0	0	0	0	0	0	0	0	R
gxS7	0	0	0	0	0	0	0	0	0	0	R
gxS8	0	0	0	0	0	0	0	0	0	0	R
gz19S1	0	0	0	0	0	0	0	0	0	1	R
gz19S11	0	0	0	0	0	0	0	0	0	0	R
gz19S17	1	0	0	0	0	0	0	0	0	0	R
gz19S23	1	0	0	0	0	1	0	0	0	0	R
gz19S24	0	0	0	0	0	0	0	0	0	0	R
gz19S26	0	0	0	0	0	0	0	1	0	0	R
gz19S29	0	0	1	0	0	0	0	0	0	0	R
gz19S3	0	0	0	0	0	0	0	0	0	0	R
gz19S30	0	1	0	0	0	0	0	0	0	0	R
gz19S31	0	0	0	0	0	0	0	0	0	1	R
gz19S33	0	0	0	0	1	0	0	0	0	0	R
gz19S34	0	0	0	0	0	0	0	0	0	0	R
gz19S35	0	0	0	0	0	0	0	0	0	0	R
gz19S36	0	0	0	0	0	0	0	0	0	0	R
gz19S37	0	0	0	0	0	1	0	0	1	1	R
gz19S38	0	0	1	0	0	0	0	0	0	1	R
gz19S39	1	0	0	0	0	0	0	0	0	0	R
gz19S4	0	0	0	0	0	0	0	0	0	0	R
gz19S41	1	0	0	0	0	1	0	0	0	0	R
gz19S5	1	0	0	0	0	0	0	0	0	1	R
gz19S9	1	0	0	0	0	0	0	0	0	0	R
gz20S20	1	0	0	0	0	0	0	1	0	0	R
gz20S3	1	0	0	0	0	1	0	0	0	1	R
gz21S103	0	0	0	0	0	1	0	0	1	1	R
gz21S125	0	0	0	0	0	0	0	0	0	0	R
gz21S126	0	0	0	0	0	0	0	0	0	0	R
gz21S13	1	0	0	0	0	0	0	0	0	0	R
gz21S136	0	0	1	0	0	0	0	0	0	0	R
gz21S137	0	1	0	0	0	0	0	0	0	0	R
gz21S141	0	0	0	0	0	0	0	0	0	0	R
gz21S144	0	0	0	0	0	0	0	0	0	1	R
gz21S145	0	0	0	1	0	0	0	0	0	1	R
gz21S146	0	0	0	0	0	0	0	0	0	0	R
gz21S147	1	0	0	0	0	0	0	0	0	0	R
gz21S15	0	0	0	0	0	0	0	0	0	0	R
gz21S150	1	0	0	0	0	0	0	0	0	1	R
gz21S16	0	0	0	0	0	0	0	0	0	1	R
gz21S17	0	1	0	0	0	0	0	0	0	0	R
gz21S18	0	0	0	0	1	0	0	0	0	1	R
gz21S21	0	0	0	0	0	0	0	0	0	0	R
gz21S25	0	0	0	0	0	0	0	0	0	0	R
gz21S26	0	0	0	0	0	0	0	0	0	0	R
gz21S27	0	0	0	0	0	0	0	0	0	0	R
gz21S34	1	0	0	0	0	1	0	0	0	1	R
gz21S38	1	0	0	0	0	1	0	0	0	0	R
gz21S39	0	1	0	0	0	0	0	0	0	0	R
gz21S40	0	0	0	0	0	0	0	0	0	0	R
gz21S43	0	0	0	0	1	0	0	0	0	0	R
gz21S44	0	1	0	0	0	1	0	0	0	0	R
gz21S46	0	1	0	0	0	0	0	0	0	0	R
gz21S7	1	0	0	0	0	1	0	0	0	0	R
gz21S73	0	0	0	0	0	0	0	0	0	0	R
gz21S74	0	1	0	0	0	0	0	0	0	1	R
gz21S75	0	0	0	0	0	0	0	0	0	0	R
gz21S77	0	0	0	0	0	0	0	0	0	0	R
gz21S78	0	0	0	0	0	0	0	0	0	0	R
gz21S79	0	0	0	0	0	0	0	0	0	0	R
gz21S81	0	0	0	0	0	0	0	0	0	0	R
gz21S83	0	0	0	0	0	0	0	0	0	0	R
gz21S84	1	0	0	0	0	0	0	0	0	1	R
gz21S86	0	0	0	1	0	1	0	0	0	1	R
gz21S96	1	0	0	0	0	0	0	0	0	0	R
gz21S99	0	0	1	0	0	0	0	0	0	0	R
gzS18	0	0	0	0	0	0	0	0	0	0	R
gzS40	0	0	0	0	0	0	0	0	0	0	R
gzS41	0	0	0	0	0	1	1	0	0	1	R
gzS42	0	0	0	0	0	0	0	0	0	0	R
gzS6	0	0	0	0	0	0	0	0	0	0	R
gzS8	0	0	0	0	0	0	0	0	0	0	R
ha19S10	1	0	0	0	0	1	0	0	0	1	R
ha19S114	0	0	0	0	0	0	0	0	0	0	R
ha19S122	0	0	1	0	0	0	0	0	0	0	R
ha19S128	0	0	0	1	0	0	0	0	0	1	R
ha19S131	0	0	0	0	1	0	0	0	0	0	R
ha19S132	0	0	0	0	1	0	0	0	0	0	R
ha19S135	0	0	0	0	0	1	1	0	0	1	R
ha19S146	0	0	0	0	0	1	1	0	0	1	R
ha19S154	1	0	0	0	0	1	0	0	0	1	R
ha19S167	1	0	0	0	0	0	0	0	0	0	R
ha19S176	1	0	0	0	0	0	0	0	0	0	R
ha19S180	0	1	0	0	0	0	0	0	0	1	R
ha19S184	1	0	0	0	0	0	0	0	0	0	R
ha19S185	1	0	0	0	0	0	0	0	0	0	R
ha19S186	1	0	0	0	0	0	0	0	0	0	R
ha19S19	0	0	0	0	1	1	0	0	0	1	R
ha19S190	0	0	0	0	0	1	1	0	0	1	R
ha19S195	0	0	0	1	0	0	0	0	0	1	R
ha19S198	0	0	0	0	0	0	0	0	0	0	R
ha19S203	0	0	0	0	1	0	0	0	0	1	R
ha19S208	0	0	1	0	0	0	0	0	0	1	R
ha19S210	0	0	1	0	0	0	0	0	0	1	R
ha19S211	0	0	1	0	0	0	0	0	0	1	R
ha19S33	1	0	0	0	0	0	0	0	0	1	R
ha19S34	1	0	0	0	0	0	0	0	0	1	R
ha19S37	1	0	0	0	0	0	0	0	0	0	R
ha19S39	1	0	0	0	0	0	0	0	0	0	R
ha19S40	0	0	1	0	0	0	0	0	0	1	R
ha19S41	0	0	1	0	0	0	0	0	0	0	R
ha19S46	0	1	0	0	0	0	0	0	0	0	R
ha19S55	1	0	0	0	0	0	0	0	0	0	R
ha19S58	1	0	0	0	0	1	0	0	0	1	R
ha19S6	0	0	0	0	1	1	0	0	0	1	R
ha19S61	1	0	0	0	0	1	0	0	0	1	R
ha19S62	1	0	0	0	0	1	0	0	0	1	R
ha19S63	0	1	0	0	0	0	0	0	0	0	R
ha19S64	0	0	0	1	0	1	0	0	0	1	R
ha19S81	0	0	0	0	1	0	0	0	0	1	R
ha19S83	0	0	1	0	0	0	0	0	0	0	R
ha19S89	0	1	0	0	0	0	0	0	0	0	R
haS104	0	0	0	0	0	0	0	0	0	0	R
haS105	1	0	0	0	0	0	0	0	0	0	R
haS110	0	0	0	0	0	0	0	0	0	1	R
haS114	0	0	0	0	0	0	0	0	0	0	R
haS116	0	0	0	0	1	1	0	0	0	1	R
haS117	0	0	0	0	1	1	0	0	0	1	R
haS120	1	0	0	0	0	0	0	0	0	0	R
haS124	0	0	0	0	0	0	0	0	0	0	R
haS126	1	0	0	0	0	0	0	0	0	0	R
haS128	1	0	0	0	0	0	0	0	0	0	R
haS13	0	0	0	0	0	0	0	0	0	0	R
haS130	0	0	0	0	0	0	1	0	0	0	R
haS132	1	0	0	0	0	0	0	0	0	0	R
haS133	1	0	0	0	0	0	0	0	0	0	R
haS135	0	0	0	0	1	1	0	0	0	1	R
haS14	0	0	0	0	0	0	0	0	0	0	R
haS147	0	0	1	0	0	0	0	0	0	0	R
haS28	0	0	0	1	0	1	0	0	0	1	R
haS29	1	1	0	0	0	0	0	0	0	1	R
haS31	0	0	0	0	0	0	0	0	0	0	R
haS34	0	0	1	0	0	0	0	0	0	0	R
haS36	0	1	0	0	0	0	0	0	0	1	R
haS40	0	0	1	0	0	1	0	0	0	0	R
haS43	0	0	0	1	0	1	0	0	0	1	R
haS44	1	0	0	0	0	0	0	0	0	0	R
haS45	1	0	0	0	0	0	0	0	0	0	R
haS49	0	0	0	0	0	0	0	0	0	0	R
haS51	0	0	1	0	0	0	0	0	0	0	R
haS52	0	0	0	0	0	0	0	0	0	0	R
haS54	0	0	0	0	0	0	0	0	0	0	R
haS56	0	0	0	0	0	0	0	0	0	0	R
haS62	1	0	0	0	0	0	0	0	0	0	R
haS63	0	0	1	0	0	0	0	0	0	0	R
haS67	0	0	1	0	0	0	0	0	0	1	R
haS75	0	0	1	0	0	0	0	0	0	1	R
haS79	0	0	0	0	1	1	0	0	0	1	R
haS80	0	0	0	1	0	0	0	0	0	1	R
haS84	0	0	0	0	1	1	0	0	0	1	R
haS85	0	0	0	0	1	1	0	0	0	1	R
haS88	0	0	0	0	1	0	0	0	0	0	R
haS90	0	0	0	0	0	0	0	0	0	0	R
haS92	0	0	0	1	0	1	0	0	0	1	R
haS97	0	1	0	0	0	0	0	0	0	1	R
hb19S10	0	0	1	0	0	1	0	0	0	1	R
hb19S103	0	0	0	0	1	0	0	0	0	1	R
hb19S126	1	0	0	0	0	0	0	0	0	0	R
hb19S128	0	0	0	0	1	1	0	0	0	1	R
hb19S131	0	0	1	0	0	0	0	1	0	0	R
hb19S133	0	0	0	1	0	1	0	0	0	1	R
hb19S138	0	1	0	0	0	0	0	0	0	0	R
hb19S148	0	0	0	0	1	1	0	0	0	1	R
hb19S157	0	0	0	0	1	1	0	0	0	1	R
hb19S163	1	0	0	0	0	0	0	0	0	0	R
hb19S165	0	0	0	1	0	1	0	0	0	1	R
hb19S194	0	0	0	0	1	1	0	0	0	1	R
hb19S204	0	0	0	1	0	1	0	0	0	1	R
hb19S205	0	0	0	0	0	0	0	0	0	0	R
hb19S21	0	0	0	0	1	0	0	0	0	0	R
hb19S223	0	1	0	0	0	0	0	0	0	0	R
hb19S229	0	0	0	0	0	0	0	0	0	0	R
hb19S235	1	0	0	0	0	0	0	0	0	0	R
hb19S236	0	0	1	0	0	0	0	0	0	0	R
hb19S248	0	0	1	0	0	0	0	0	0	1	R
hb19S262	0	1	0	0	0	0	0	0	0	0	R
hb19S270	0	0	1	0	0	0	0	0	0	0	R
hb19S28	0	0	0	0	1	0	0	0	0	0	R
hb19S291	0	0	0	0	0	0	0	0	0	0	R
hb19S296	0	1	0	0	0	0	0	0	0	0	R
hb19S303	0	1	0	0	0	0	0	0	0	1	R
hb19S33	0	1	0	0	0	0	0	0	0	1	R
hb19S40	0	1	0	0	0	0	0	0	0	0	R
hb19S43	1	0	0	0	0	0	0	0	0	0	R
hb19S47	0	0	0	0	1	0	0	0	0	0	R
hb19S60	1	0	0	0	0	0	0	0	0	0	R
hb19S61	0	1	0	0	0	0	0	0	0	1	R
hb19S68	1	0	0	0	0	0	0	0	0	0	R
hb19S73	1	0	0	0	0	0	0	0	0	0	R
hb19S86	1	0	0	0	0	1	0	0	0	0	R
hb19S88	1	0	0	0	0	0	0	0	0	0	R
hb19S99	1	0	0	0	0	0	0	0	0	0	R
hb21S114	0	0	0	0	0	0	0	0	0	1	R
hb21S131	0	0	0	0	0	1	0	0	1	1	R
hb21S168	0	1	0	0	0	0	0	0	0	0	R
hb21S171	0	0	1	0	0	0	0	0	0	1	R
hb21S172	0	0	0	0	0	0	0	0	0	0	R
hb21S18	1	0	0	0	0	1	0	0	0	0	R
hb21S185	1	0	0	0	0	1	0	0	0	0	R
hb21S188	1	0	0	1	0	1	0	0	0	1	R
hb21S191	0	0	1	0	0	0	0	0	0	1	R
hb21S198	0	0	0	0	1	0	0	0	0	0	R
hb21S199	0	0	0	0	1	1	0	0	0	1	R
hb21S203	0	0	0	0	1	1	0	0	0	1	R
hb21S212	0	1	0	0	0	0	0	0	0	0	R
hb21S214	0	1	0	0	0	0	0	0	0	0	R
hb21S218	0	0	0	0	0	0	0	0	0	1	R
hb21S22	0	0	1	0	0	0	0	0	0	0	R
hb21S226	0	1	0	0	0	0	0	0	0	0	R
hb21S29	0	0	0	0	1	1	0	0	0	1	R
hb21S3	0	0	0	0	1	1	0	0	0	1	R
hb21S36	0	0	0	0	0	0	0	0	0	0	R
hb21S381	0	1	0	0	0	0	0	0	0	1	R
hb21S391	0	0	1	0	0	0	0	0	0	0	R
hb21S393	0	0	0	1	0	1	0	0	0	1	R
hb21S395	0	0	0	1	0	1	0	0	0	1	R
hb21S396	1	0	0	0	0	0	0	0	0	1	R
hb21S400	1	0	0	0	0	0	0	0	0	0	R
hb21S401	1	0	0	0	0	0	0	0	0	0	R
hb21S410	0	1	0	0	0	0	0	0	0	0	R
hb21S414	1	0	0	0	0	1	0	0	0	0	R
hb21S415	0	1	0	0	0	0	0	0	0	0	R
hb21S416	0	1	0	0	0	0	0	0	0	0	R
hb21S430	1	0	0	0	0	0	0	0	0	0	R
hb21S440	0	1	0	0	0	0	0	0	0	0	R
hb21S449	0	0	0	0	0	0	0	0	0	0	R
hb21S454	1	0	0	0	0	1	0	0	0	0	R
hb21S460	1	0	0	0	0	0	0	0	0	0	R
hb21S461	0	0	0	1	0	1	0	0	0	1	R
hb21S464	0	0	0	0	0	0	0	0	0	0	R
hb21S466	1	0	0	0	0	1	0	0	0	0	R
hb21S470	0	0	1	0	0	0	0	0	0	0	R
hb21S472	1	0	0	0	0	0	0	0	0	0	R
hb21S480	0	0	0	1	0	1	0	0	0	1	R
hb21S486	0	0	0	0	0	0	0	0	0	0	R
hb21S508	0	0	0	0	0	0	0	0	0	0	R
hb21S519	0	0	0	0	0	0	0	0	0	0	R
hb21S55	0	0	0	0	0	0	0	0	0	0	R
hb21S565	0	0	0	0	1	0	0	0	0	1	R
hb21S570	0	0	0	0	0	0	0	0	0	0	R
hb21S577	0	0	0	0	0	0	0	1	0	0	R
hb21S578	0	0	0	0	0	0	0	0	0	0	R
hb21S579	0	0	0	0	0	0	0	0	0	0	R
hb21S580	0	0	0	0	0	0	0	0	0	0	R
hb21S581	0	0	0	0	0	0	0	0	0	0	R
hb21S608	0	1	0	0	0	0	0	0	0	0	R
hb21S610	0	0	0	1	0	1	0	0	0	1	R
hb21S611	0	0	0	0	0	0	0	0	0	0	R
hb21S614	0	0	0	0	1	0	0	0	0	0	R
hb21S622	0	0	1	0	0	0	0	0	0	0	R
hb21S624	0	0	0	0	1	1	0	0	0	1	R
hb21S626	0	0	0	0	0	0	0	0	0	1	R
hb21S628	0	0	0	0	0	0	0	0	0	0	R
hb21S66	1	0	0	0	0	0	0	0	0	0	R
hb21S70	0	0	0	1	0	1	0	0	0	1	R
hb21S75	0	0	0	1	0	1	0	0	0	1	R
hb21S8	0	0	0	0	1	1	0	0	0	1	R
hb21S81	0	0	0	1	0	1	0	0	0	1	R
hb21S82	0	0	1	0	0	0	0	0	0	1	R
hb21S85	1	0	0	0	0	0	0	0	0	0	R
hb21S89	1	0	0	0	0	1	0	0	0	0	R
hb21S90	0	0	0	0	0	0	0	0	0	0	R
hbS10	0	0	1	0	0	1	0	0	0	1	R
hbS102	1	0	0	0	0	0	0	0	0	0	R
hbS109	1	0	0	0	0	0	0	0	0	0	R
hbS117	0	1	0	0	0	0	0	0	0	0	R
hbS125	0	0	0	0	1	1	0	0	0	1	R
hbS129	1	0	0	0	0	1	0	1	0	1	R
hbS13	0	0	0	1	0	1	0	0	0	1	R
hbS130	0	1	0	0	0	0	0	0	0	0	R
hbS132	0	0	0	0	1	0	0	0	0	0	R
hbS136	1	0	0	0	0	1	0	0	0	1	R
hbS139	0	0	1	0	0	0	0	0	0	1	R
hbS141	0	0	0	0	1	1	0	0	0	1	R
hbS142	0	0	0	1	0	1	0	0	0	1	R
hbS16	1	0	0	0	0	0	0	0	0	0	R
hbS2	0	0	0	1	0	1	0	0	0	1	R
hbS21	0	0	0	0	0	0	0	0	0	0	R
hbS24	1	0	0	0	0	0	0	0	0	0	R
hbS25	0	0	0	1	0	1	0	0	0	1	R
hbS26	0	0	0	1	0	1	0	0	0	1	R
hbS29	1	0	0	0	0	0	0	0	0	0	R
hbS30	1	0	0	0	0	0	0	0	0	0	R
hbS31	1	0	0	0	0	0	0	0	0	0	R
hbS36	0	1	0	0	0	0	0	0	0	1	R
hbS4	0	0	0	1	0	1	0	0	0	1	R
hbS40	0	0	0	0	1	1	0	0	0	1	R
hbS49	0	0	0	1	0	1	0	0	0	1	R
hbS51	0	1	0	0	0	0	0	0	0	0	R
hbS60	1	0	0	0	0	0	0	0	0	0	R
hbS65	0	1	0	0	0	0	0	0	0	0	R
hbS69	0	0	0	1	0	1	0	0	0	1	R
hbS71	0	1	0	0	0	0	0	0	0	0	R
hbS73	0	0	0	0	0	0	0	0	0	1	R
hbS74	0	0	0	0	0	0	0	0	0	0	R
hbS8	0	1	0	0	0	0	0	0	0	0	R
hbS80	0	0	0	1	0	0	0	0	0	1	R
hbS82	0	0	0	0	1	1	0	0	0	1	R
hbS83	1	0	0	0	0	0	0	0	0	0	R
hbS85	0	0	1	0	0	0	0	0	0	1	R
hbS87	0	1	0	0	0	0	0	0	0	0	R
hbS91	1	0	0	0	0	0	0	0	0	0	R
hbS93	0	0	0	0	1	1	0	0	0	1	R
hbS97	1	0	0	0	1	1	0	0	0	0	R
he19S15	0	0	1	0	0	0	0	0	0	1	R
he19S16	0	0	0	0	0	0	0	0	0	1	R
he19S45	0	0	0	1	0	1	0	0	0	1	R
he19S46	0	0	0	1	0	1	0	0	0	1	R
he19S48	1	0	0	0	0	0	0	0	0	0	R
he19S59	1	0	0	0	0	0	0	0	0	0	R
he20S10	1	0	0	0	0	1	0	0	0	1	R
he20S11	0	0	1	0	0	1	0	0	0	1	R
he20S110	0	0	0	1	0	0	0	0	0	1	R
he20S115	1	0	0	0	0	1	0	0	0	0	R
he20S15	1	0	0	0	0	0	0	0	0	0	R
he20S16	1	0	0	0	0	1	0	0	0	1	R
he20S24	1	0	0	0	0	0	0	0	0	0	R
he20S28	0	1	0	0	0	0	0	0	0	1	R
he20S36	1	0	0	0	0	0	0	0	0	0	R
he20S58	0	0	0	0	0	0	0	0	0	0	R
he20S76	1	0	0	0	0	1	0	0	0	1	R
he20S77	1	0	0	0	0	1	0	0	0	1	R
he20S85	1	0	0	0	0	1	0	0	0	0	R
he20S89	1	0	0	0	0	0	0	0	0	0	R
he21S4	1	0	0	0	0	1	0	0	0	0	R
he21S6	1	0	0	0	0	0	0	0	0	0	R
heS15	0	0	0	0	0	0	0	0	0	0	R
heS17	0	0	1	0	0	0	0	0	0	0	R
heS20	1	0	0	0	0	0	0	0	0	1	R
heS25	1	0	0	0	0	0	0	0	0	0	R
heS29	0	0	0	0	0	0	0	0	0	0	R
heS40	0	0	0	0	0	0	0	0	0	0	R
heS41	0	0	0	0	0	0	0	0	0	0	R
heS43	0	0	0	0	0	0	0	0	0	0	R
heS58	0	0	0	0	0	0	0	0	0	0	R
heS60	1	0	0	0	0	1	0	0	0	1	R
heS7	0	0	1	0	0	0	0	0	0	1	R
heS9	0	0	1	0	0	0	0	0	0	1	R
hl19S25	0	0	1	0	0	0	0	0	0	1	R
hl19S29	1	0	0	0	0	0	0	0	0	1	R
hl19S4	0	0	0	1	0	0	0	0	0	1	R
hl19S48	0	0	0	0	0	0	0	0	0	0	R
hl19S6	1	0	0	0	0	0	0	0	0	1	R
hl19S64	0	0	0	0	0	0	0	0	0	0	R
hl19S7	1	0	0	0	0	0	0	0	0	1	R
hl19S75	1	0	0	0	0	0	0	0	0	0	R
hl19S9	1	0	0	0	0	0	0	0	0	1	R
hl21S16	0	0	0	0	0	0	0	0	0	0	R
hl21S19	0	0	0	0	0	1	0	0	0	1	R
hl21S20	0	0	0	0	0	0	0	0	0	0	R
hl21S21	0	0	0	0	0	0	0	0	0	0	R
hl21S23	0	0	0	0	0	0	0	0	0	0	R
hl21S44	0	0	0	0	0	0	0	0	0	0	R
hlS20	0	0	1	0	0	1	0	0	0	1	R
hlS28	0	0	0	0	0	0	0	0	0	0	R
hlS30	0	0	1	0	0	0	0	0	0	0	R
hlS31	0	0	1	0	0	0	0	0	0	0	R
hlS33	0	0	1	0	0	0	0	0	0	0	R
hlS40	0	0	0	0	0	0	0	0	0	0	R
hlS74	0	0	0	0	0	0	0	0	0	0	R
hlS9	0	0	0	0	0	0	0	0	0	0	R
hn19S100	0	1	0	0	0	0	0	0	0	1	R
hn19S104	0	1	0	0	0	0	0	0	0	0	R
hn19S110	1	0	0	0	0	1	0	0	0	1	R
hn19S114	0	0	0	1	0	1	0	0	0	1	R
hn19S119	1	0	0	0	0	1	0	0	0	0	R
hn19S120	0	1	0	0	0	0	0	0	0	0	R
hn19S136	1	0	0	0	0	0	0	0	0	0	R
hn19S139	0	0	1	0	0	0	0	0	0	1	R
hn19S142	0	0	0	1	0	0	0	0	0	1	R
hn19S143	1	0	0	0	0	0	0	0	0	0	R
hn19S159	1	0	0	0	0	0	0	0	0	0	R
hn19S161	1	0	0	0	0	0	0	0	0	0	R
hn19S163	1	0	0	0	0	0	0	0	0	0	R
hn19S164	1	0	0	0	0	0	0	0	0	0	R
hn19S165	1	0	0	0	0	0	0	0	0	0	R
hn19S170	1	0	0	0	0	0	0	0	0	0	R
hn19S181	0	0	0	0	1	1	0	0	0	1	R
hn19S185	0	0	0	0	0	0	0	0	1	1	R
hn19S193	0	0	1	0	0	0	0	0	0	0	R
hn19S194	1	0	0	0	0	0	0	0	0	0	R
hn19S199	1	0	0	0	0	0	0	0	0	0	R
hn19S27	1	0	0	0	0	0	0	0	0	0	R
hn19S29	0	0	0	1	0	1	0	0	0	1	R
hn19S3	0	1	0	0	0	0	0	0	0	0	R
hn19S36	1	0	0	0	0	0	0	1	0	0	R
hn19S37	0	0	1	0	0	0	0	0	0	0	R
hn19S38	1	0	0	0	0	0	0	0	0	0	R
hn19S39	0	0	0	0	0	0	0	0	0	0	R
hn19S43	0	0	0	0	0	0	0	0	0	0	R
hn19S52	1	0	0	0	0	1	0	0	0	1	R
hn19S66	1	0	0	0	0	0	0	0	0	0	R
hn19S86	0	0	0	0	1	1	0	0	0	1	R
hn19S91	0	0	0	1	0	1	0	0	0	1	R
hn21S103	0	0	1	0	0	0	0	0	0	1	R
hn21S104	1	0	0	0	0	0	0	0	0	0	R
hn21S105	0	0	0	0	0	1	0	1	0	1	R
hn21S12	0	1	0	0	0	0	0	0	0	0	R
hn21S137	1	0	0	0	0	0	0	0	0	0	R
hn21S140	0	0	0	1	0	0	0	0	0	1	R
hn21S160	1	0	0	0	0	1	0	0	0	0	R
hn21S170	0	0	0	0	0	0	0	0	0	1	R
hn21S173	1	0	0	0	0	0	0	0	0	0	R
hn21S190	0	0	0	0	1	0	0	0	0	0	R
hn21S193	1	0	0	0	0	0	0	0	0	0	R
hn21S220	0	0	0	0	0	0	0	0	0	0	R
hn21S222	0	0	0	0	1	0	0	0	0	0	R
hn21S228	0	0	0	0	0	0	0	0	1	0	R
hn21S231	0	0	1	0	0	0	0	1	0	0	R
hn21S234	1	0	0	0	0	0	0	0	0	0	R
hn21S25	0	0	0	0	1	1	0	0	0	1	R
hn21S254	0	0	0	0	1	0	0	0	0	0	R
hn21S267	1	0	0	0	0	0	0	0	0	0	R
hn21S268	1	0	0	0	0	0	0	0	0	0	R
hn21S275	1	0	0	0	0	0	0	0	0	0	R
hn21S278	0	0	0	0	0	0	0	0	0	0	R
hn21S279	1	0	0	0	0	1	0	0	0	0	R
hn21S280	1	0	0	0	0	1	0	0	0	0	R
hn21S293	0	0	0	0	1	0	0	0	0	0	R
hn21S312	0	0	0	1	0	1	0	0	0	1	R
hn21S35	1	0	0	0	0	0	0	0	0	0	R
hn21S37	0	1	0	0	0	0	0	0	0	0	R
hn21S41	0	1	0	0	0	0	0	0	0	0	R
hn21S48	0	0	1	0	0	0	0	0	0	1	R
hn21S49	0	1	0	0	0	0	0	0	0	0	R
hn21S54	0	1	0	0	0	0	0	0	0	1	R
hn21S74	1	0	0	0	0	0	0	0	0	1	R
hn21S77	0	0	1	0	0	0	0	0	0	1	R
hnS1	0	0	1	0	0	0	0	0	0	0	R
hnS109	0	1	0	0	0	0	0	0	0	1	R
hnS111	0	0	0	0	0	0	0	0	0	0	R
hnS115	0	0	1	0	0	0	0	0	0	1	R
hnS116	0	0	0	0	0	0	0	0	0	0	R
hnS117	0	0	0	0	0	0	0	0	0	1	R
hnS126	0	0	0	0	0	0	0	0	0	0	R
hnS128	0	0	0	0	0	0	0	0	0	0	R
hnS129	0	0	1	0	0	0	0	0	0	0	R
hnS131	0	0	0	1	0	1	0	0	0	1	R
hnS134	0	0	0	0	0	0	0	0	0	0	R
hnS136	0	0	0	0	0	0	0	0	0	0	R
hnS139	0	0	0	0	0	0	0	0	0	0	R
hnS145	1	0	0	0	0	0	0	0	0	0	R
hnS148	0	0	1	0	0	0	0	0	0	1	R
hnS149	1	0	0	0	0	0	0	0	0	0	R
hnS151	1	0	0	0	0	0	0	0	0	0	R
hnS152	1	0	0	0	0	0	0	0	0	0	R
hnS155	1	0	0	0	0	0	0	0	0	0	R
hnS157	0	0	1	0	0	0	0	0	0	1	R
hnS160	1	0	0	0	0	0	0	0	0	0	R
hnS165	0	1	0	0	0	0	0	0	0	1	R
hnS176	0	0	0	0	1	1	0	0	0	1	R
hnS178	0	0	0	1	0	1	0	0	0	1	R
hnS179	0	0	0	0	0	1	1	0	0	1	R
hnS180	0	0	0	0	1	1	0	0	0	1	R
hnS186	1	0	0	0	0	0	0	0	0	1	R
hnS204	0	0	0	1	0	0	0	0	0	1	R
hnS235	1	0	0	0	0	0	0	0	0	0	R
hnS237	1	0	0	0	0	0	0	0	0	0	R
hnS69	0	0	0	0	0	0	0	0	0	0	R
hnS72	0	0	1	0	0	0	0	0	0	0	R
jl19S34	0	0	1	0	0	0	0	0	0	0	R
jl19S35	0	0	0	0	0	0	0	0	0	0	R
jl19S38	0	0	1	0	0	0	0	0	0	1	R
jl19S67	0	0	0	0	0	0	0	0	0	1	R
jl19S74	0	0	0	0	0	1	0	1	0	1	R
jl19S89	1	0	0	0	1	1	0	0	0	0	R
jl20S11	0	1	0	0	0	0	0	0	0	0	R
jl20S22	0	0	1	0	0	0	0	0	0	0	R
jl20S31	0	0	1	0	0	0	0	0	0	0	R
jl20S48	0	0	1	0	0	0	0	0	0	1	R
jl20S53	0	0	0	0	0	0	0	0	0	1	R
jl21S1	0	0	0	0	0	0	0	0	0	0	R
jl21S104	0	0	0	0	1	1	0	0	0	1	R
jl21S106	0	0	0	0	0	0	0	0	0	0	R
jl21S107	0	0	1	0	0	0	0	0	0	0	R
jl21S108	0	0	0	0	0	0	0	0	0	0	R
jl21S114	0	0	0	0	0	0	0	0	0	0	R
jl21S115	0	0	0	1	0	1	0	0	0	1	R
jl21S130	0	0	0	0	0	0	0	0	0	0	R
jl21S136	0	0	0	0	0	0	0	0	0	0	R
jl21S138	1	0	0	0	0	0	0	0	0	0	R
jl21S23	0	0	0	0	0	0	0	0	0	0	R
jl21S28	0	0	0	0	0	0	0	0	0	0	R
jl21S30	0	0	0	0	0	0	0	0	0	0	R
jl21S45	0	0	0	0	0	0	0	0	0	0	R
jl21S55	0	0	0	0	0	0	0	0	0	0	R
jl21S58	0	0	0	0	0	0	0	0	0	0	R
jl21S68	0	0	0	0	0	0	0	0	0	0	R
jl21S72	0	0	0	0	0	0	0	0	0	0	R
jl21S74	0	0	0	0	0	0	0	0	0	0	R
jl21S89	0	0	0	0	0	0	0	0	0	0	R
jl21S90	0	0	0	0	0	0	0	0	0	0	R
jl21S92	0	0	0	0	0	0	0	0	0	0	R
